"Name", "Stmts", "Miss", "Cover"
"scaraemu/__init__.py", "9", "0", "100%"
"scaraemu/core/__init__.py", "9", "0", "100%"
"scaraemu/core/model/__init__.py", "9", "0", "100%"
"scaraemu/core/model/kinematics_config_dto.py", "18", "0", "100%"
"scaraemu/core/model/scara_geometry.py", "24", "0", "100%"
"scaraemu/core/model/scara_joints.py", "17", "0", "100%"
"scaraemu/core/model/scara_pose.py", "16", "0", "100%"
"scaraemu/core/model/scara_step_coords.py", "16", "0", "100%"
"scaraemu/core/model/simulation_state_dto.py", "17", "0", "100%"
"scaraemu/core/model/telemetry_dto.py", "21", "0", "100%"
"scaraemu/core/service/__init__.py", "9", "0", "100%"
"scaraemu/core/service/demo_generator.py", "55", "0", "100%"
"scaraemu/core/service/emulator_service.py", "120", "28", "77%"
"scaraemu/core/service/engine.py", "24", "0", "100%"
"scaraemu/core/service/iemulator_service.py", "30", "0", "100%"
"scaraemu/core/service/ikinematics_service.py", "24", "0", "100%"
"scaraemu/core/service/iservice.py", "17", "0", "100%"
"scaraemu/core/service/kinematics_service.py", "97", "4", "96%"
"scaraemu/engine.py", "64", "64", "0%"
"scaraemu/infrastructure/cli/__init__.py", "9", "0", "100%"
"scaraemu/infrastructure/cli/engine.py", "40", "7", "82%"
"scaraemu/infrastructure/cli/icli.py", "15", "0", "100%"
"scaraemu/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"scaraemu/infrastructure/cli/setup/bundle.py", "22", "1", "95%"
"scaraemu/infrastructure/cli/setup/dep_validator.py", "36", "1", "97%"
"scaraemu/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"scaraemu/infrastructure/cli/setup/factory.py", "37", "1", "97%"
"scaraemu/infrastructure/cli/setup/keys.py", "28", "0", "100%"
"scaraemu/infrastructure/cli/setup/opt_validator.py", "35", "1", "97%"
"scaraemu/infrastructure/cli/setup/options.py", "17", "0", "100%"
"scaraemu/infrastructure/cli/setup/registry.py", "31", "1", "97%"
"scaraemu/infrastructure/cli/setup/validator.py", "43", "5", "88%"
"scaraemu/infrastructure/command/__init__.py", "9", "0", "100%"
"scaraemu/infrastructure/command/command.py", "16", "0", "100%"
"scaraemu/infrastructure/command/emulator_command_definition.py", "24", "1", "96%"
"scaraemu/infrastructure/command/emulator_command_executor.py", "32", "5", "84%"
"scaraemu/infrastructure/command/icommand_definition.py", "14", "0", "100%"
"scaraemu/infrastructure/command/icommand_executor.py", "14", "0", "100%"
"scaraemu/infrastructure/communication/__init__.py", "9", "0", "100%"
"scaraemu/infrastructure/communication/protocol/__init__.py", "9", "0", "100%"
"scaraemu/infrastructure/communication/protocol/command_formatter.py", "38", "0", "100%"
"scaraemu/infrastructure/communication/protocol/command_templates.py", "20", "0", "100%"
"scaraemu/infrastructure/communication/protocol/firmware_response_dto.py", "17", "0", "100%"
"scaraemu/infrastructure/communication/protocol/protocol_parser.py", "64", "3", "95%"
"scaraemu/infrastructure/communication/serial_port_scanner.py", "43", "3", "93%"
"scaraemu/infrastructure/communication/transport/__init__.py", "9", "0", "100%"
"scaraemu/infrastructure/communication/transport/itransport.py", "22", "5", "77%"
"scaraemu/infrastructure/communication/transport/serial_transport.py", "102", "59", "42%"
"scaraemu/infrastructure/communication/transport/tcp_transport.py", "96", "55", "43%"
"scaraemu/infrastructure/gui/__init__.py", "9", "0", "100%"
"scaraemu/infrastructure/gui/canvas_xy.py", "105", "71", "32%"
"scaraemu/infrastructure/gui/canvas_z.py", "74", "46", "38%"
"scaraemu/infrastructure/gui/components/__init__.py", "9", "0", "100%"
"scaraemu/infrastructure/gui/components/jog_panel.py", "76", "47", "38%"
"scaraemu/infrastructure/gui/components/serial_bar.py", "70", "46", "34%"
"scaraemu/infrastructure/gui/components/serial_console_panel.py", "56", "35", "38%"
"scaraemu/infrastructure/gui/components/telemetry_panel.py", "62", "34", "45%"
"scaraemu/infrastructure/gui/components/trajectory_demo_panel.py", "46", "25", "46%"
"scaraemu/infrastructure/gui/engine.py", "174", "114", "34%"
"scaraemu/infrastructure/gui/hardware_bridge_controller.py", "93", "19", "80%"
"scaraemu/infrastructure/gui/icanvas_xy.py", "19", "2", "89%"
"scaraemu/infrastructure/gui/icanvas_z.py", "17", "2", "88%"
"scaraemu/infrastructure/gui/igui.py", "16", "2", "88%"
"scaraemu/infrastructure/gui/theme.py", "28", "0", "100%"
"scaraemu/setup/__init__.py", "9", "0", "100%"
"scaraemu/setup/bundle.py", "25", "1", "96%"
"scaraemu/setup/dep_validator.py", "36", "1", "97%"
"scaraemu/setup/dependencies.py", "21", "0", "100%"
"scaraemu/setup/factory.py", "80", "3", "96%"
"scaraemu/setup/keys.py", "39", "0", "100%"
"scaraemu/setup/opt_validator.py", "36", "2", "94%"
"scaraemu/setup/options.py", "22", "0", "100%"
"scaraemu/setup/registry.py", "34", "1", "97%"
"scaraemu/setup/validator.py", "53", "5", "91%"
"Total", "2683", "700", "74%"
